k_nummer,bef_2007,bef_2009,bef_2013,bef_2017,bef_vekst_4,bef_vekst_8,bef_vekst_10
0101,27835,28389,29880,30790,0.030455153949129787,0.0845750114480961,0.10616130770612542
0104,28633,29588,30988,32407,0.045791919452691454,0.0952751115317021,0.13180595816016494
0105,50593,51723,53696,55127,0.02665002979737774,0.06581211453318647,0.08961714071116567
0106,71297,72760,76807,80121,0.04314710898746199,0.10116822429906547,0.1237639732387057
0111,3880,3998,4284,4517,0.05438842203548089,0.12981490745372692,0.16417525773195885
0118,1417,1420,1425,1398,-0.0189473684210526,-0.015492957746478853,-0.013408609738884913
0119,3517,3455,3587,3597,0.0027878449958183005,0.041099855282199727,0.022746659084446952
0121,659,671,691,685,-0.00868306801736618,0.02086438152011927,0.039453717754172946
0122,4994,5047,5273,5367,0.017826664138061776,0.06340400237765009,0.07468962755306374
0123,4948,5148,5474,5765,0.053160394592619564,0.11985236985236991,0.1651172190784156
0124,14329,14703,15315,15720,0.026444662095984395,0.0691695572332176,0.09707586014376446
0125,10357,10701,11195,11406,0.018847699866011647,0.06588169329969151,0.10128415564352622
0127,3413,3492,3668,3783,0.03135223555070876,0.08333333333333326,0.10840902431878119
0128,7428,7496,7860,8173,0.0398218829516539,0.09031483457844192,0.10029617662897139
0135,6654,6790,7053,7398,0.04891535516801371,0.08954344624447708,0.11181244364292153
0136,13839,14105,14967,15747,0.052114652234916736,0.11641261963842608,0.13787123347062646
0137,4152,4437,4857,5335,0.09841465925468396,0.2023890015776426,0.2849229287090558
0138,4578,4661,4980,5557,0.11586345381526097,0.19223342630336848,0.2138488422892093
0211,13414,14095,15605,17188,0.10144184556231983,0.21943951755941815,0.2813478455345162
0213,27247,27699,29307,30698,0.04746306343194462,0.108271056716849,0.1266561456307116
0214,14873,15863,17568,19288,0.09790528233151186,0.21591123999243522,0.2968466348416594
0215,13890,14435,15469,15743,0.01771284504492865,0.09061309317630761,0.13340532757379409
0216,16791,17129,17998,18869,0.048394266029558874,0.10158211220736768,0.12375677446250966
0217,23993,24612,25963,26988,0.03947925894542226,0.09653827401267678,0.124828074855166
0219,106932,109700,116677,124008,0.06283157777454007,0.13042844120328168,0.15969027045225004
0220,52210,53756,57418,60781,0.05857048312375901,0.13068308653917704,0.16416395326565802
0221,13587,14158,15260,16162,0.059108781127129806,0.14154541601921178,0.18951939353794067
0226,13807,14942,16363,17665,0.0795697610462629,0.18223798688261272,0.2794234808430507
0227,9799,10139,10810,11555,0.06891766882516182,0.13965874346582496,0.1792019593836105
0228,15062,15345,16420,17730,0.07978075517661387,0.15542521994134906,0.17713451068915154
0229,9660,10153,10560,10927,0.0347537878787878,0.07623362552940027,0.13115942028985517
0230,31365,32300,34320,37406,0.0899184149184149,0.15808049535603708,0.19260322014984865
0231,44577,46668,50532,53276,0.05430222433309595,0.1415959544013028,0.1951454786100455
0233,19968,20555,21971,23213,0.05652906103500066,0.12931160301629774,0.16251001602564097
0234,5353,5567,6264,6546,0.04501915708812265,0.17585773306987607,0.22286568279469465
0235,25966,28138,31743,35102,0.1058186056768422,0.24749449143507007,0.35184472001848577
0236,18219,18629,19819,21241,0.07174933144961915,0.1402114982017284,0.1658707942258082
0237,19334,20321,22142,24415,0.10265558666787111,0.20146646326460305,0.2628012827143891
0238,10536,10800,11505,12657,0.10013037809647973,0.17194444444444446,0.20130979498861046
0239,2594,2621,2685,2910,0.08379888268156432,0.11026325829835937,0.12181958365458745
0301,548617,575475,623966,666759,0.06858226249507182,0.15862374560145964,0.21534513148517087
0402,17236,17326,17638,17857,0.012416373738519004,0.03064758166916781,0.03602924112323036
0403,27909,28211,29353,30598,0.04241474465983042,0.08461238523979997,0.0963488480418504
0412,31974,32402,33406,33842,0.013051547626174997,0.04444170112955992,0.058422468255457494
0415,7292,7255,7479,7633,0.020590988100013474,0.05210199862164022,0.04676357652221608
0417,18642,18982,19407,20317,0.04689029731540173,0.07032978611315976,0.08985087436970285
0418,5055,5098,5190,5100,-0.017341040462427793,3.923107100822776e-4,0.008902077151335286
0419,7754,7795,7806,7866,0.00768639508070712,0.00910840282232206,0.014444157854010875
0420,6385,6394,6282,6127,-0.024673670805476,-0.04175789802940255,-0.040407204385278006
0423,5152,5080,4997,4777,-0.044026415849509726,-0.05964566929133863,-0.07278726708074534
0425,7604,7610,7600,7329,-0.03565789473684211,-0.03692509855453352,-0.036165176223040496
0426,3877,3869,3826,3743,-0.021693674856246736,-0.03256655466528824,-0.03456280629352593
0427,19260,19687,20343,21086,0.036523619918399364,0.07106212221262753,0.09480789200415374
0428,6782,6749,6689,6550,-0.020780385707878657,-0.029485849755519378,-0.03420819817163079
0429,4284,4280,4387,4518,0.029860952815135677,0.05560747663551391,0.054621848739495826
0430,2705,2689,2641,2530,-0.04202953426732303,-0.05912978802528823,-0.06469500924214422
0432,2055,2014,1910,1858,-0.027225130890052407,-0.07745779543197617,-0.09586374695863742
0434,1460,1436,1376,1274,-0.0741279069767442,-0.11281337047353757,-0.12739726027397258
0436,1707,1678,1681,1620,-0.03628792385484836,-0.03456495828367101,-0.05096660808435849
0437,5371,5400,5570,5584,0.0025134649910232287,0.034074074074074145,0.039657419474958155
0438,2430,2399,2449,2441,-0.0032666394446713154,0.017507294706127663,0.004526748971193317
0439,1695,1671,1654,1577,-0.04655380894800487,-0.05625374027528429,-0.06961651917404132
0441,2063,2046,2035,1963,-0.03538083538083536,-0.040566959921798595,-0.04847309743092587
0501,25537,26104,26850,27781,0.03467411545623844,0.06424302788844627,0.08787249872733671
0502,27931,28611,29407,30319,0.031013024109905807,0.05969731921289023,0.08549640184740959
0511,2812,2772,2727,2675,-0.019068573524019028,-0.03499278499278502,-0.04871977240398295
0512,2150,2170,2145,2048,-0.04522144522144522,-0.05622119815668203,-0.047441860465116226
0513,2329,2307,2279,2202,-0.03378674857393593,-0.04551365409622887,-0.05452984113353365
0514,2436,2406,2364,2360,-0.0016920473773265332,-0.019118869492934287,-0.031198686371100126
0515,3724,3707,3716,3640,-0.020452099031216364,-0.01807391421634741,-0.022556390977443663
0516,5790,5800,5827,5723,-0.01784794920199073,-0.013275862068965472,-0.011571675302245232
0517,6099,6015,5952,5916,-0.006048387096774244,-0.016458852867830442,-0.030004918839153905
0519,3199,3183,3193,3163,-0.00939555277168802,-0.006283380458686816,-0.011253516723976231
0520,4557,4537,4496,4502,0.0013345195729537185,-0.0077143486885606904,-0.012069343866578874
0521,4893,4917,5102,5082,-0.003920031360250875,0.033557046979865834,0.03862660944205998
0522,6114,6091,6141,6204,0.010258915486077269,0.018551961911016157,0.014720314033366044
0528,14389,14464,14766,14887,0.008194500880400968,0.029245022123893794,0.03460977135311705
0529,12610,12714,12999,13179,0.01384721901684749,0.03657385559226056,0.04512291831879467
0532,6238,6251,6444,6696,0.03910614525139655,0.07118860982242836,0.07342096825905742
0533,8522,8552,8880,9080,0.022522522522522515,0.06173994387277837,0.06547758742079335
0534,13110,13217,13550,13707,0.011586715867158759,0.03707346599076944,0.045537757437071
0536,5932,5797,5703,5717,0.002454848325442738,-0.013800241504226318,-0.036244099797707374
0538,6720,6680,6758,6773,0.0022195915951463974,0.01392215568862265,0.00788690476190479
0540,3194,3204,3147,3026,-0.03844931680966002,-0.05555555555555558,-0.05259862241703195
0541,1394,1380,1399,1351,-0.03431022158684771,-0.021014492753623215,-0.030846484935437624
0542,6388,6451,6396,6490,0.014696685428392753,0.006045574329561321,0.015967438948027546
0543,2212,2194,2219,2114,-0.04731861198738174,-0.03646308113035557,-0.044303797468354444
0544,3166,3181,3197,3248,0.015952455426962775,0.021062558943728327,0.02590018951358175
0545,1591,1583,1597,1596,-6.261740763932044e-4,0.008212255211623498,0.00314267756128217
0602,58730,61405,65473,68363,0.044140332656209536,0.11331324810683174,0.16402179465349898
0604,23644,24381,25887,27216,0.05133850967667164,0.11627906976744184,0.15107426831331416
0605,28385,28645,29400,30034,0.021564625850340136,0.048490137894920515,0.05809406376607362
0612,5436,5861,6463,6772,0.04781061426582078,0.1554342262412558,0.2457689477557028
0615,989,1011,1050,1081,0.029523809523809508,0.06923837784371911,0.09302325581395343
0616,3456,3461,3435,3357,-0.022707423580786035,-0.030049118751805826,-0.02864583333333337
0617,4435,4516,4667,4612,-0.011784872509106536,0.021257750221434835,0.03990980834272828
0618,1963,1995,2224,2442,0.0980215827338129,0.22406015037593985,0.24401426388181346
0619,4642,4640,4761,4719,-0.008821676118462518,0.017025862068965614,0.016587677725118377
0620,4475,4430,4448,4535,0.019559352517985573,0.023702031602708784,0.013407821229050265
0621,3496,3534,3538,3502,-0.010175240248728068,-0.009054895302773036,0.0017162471395881784
0622,2120,2114,2223,2257,0.015294646873594164,0.06764427625354785,0.06462264150943398
0623,12589,12872,13337,13786,0.033665741920971826,0.07100683654443762,0.09508300897609034
0624,15956,16350,17752,18562,0.04562866155926093,0.13529051987767593,0.16332414138881934
0625,21877,22332,23640,24718,0.04560067681895097,0.10684219953430052,0.12986241257942122
0626,22257,22873,24763,25740,0.03945402414893184,0.1253442923971495,0.15649009300444794
0627,17819,18749,20078,21931,0.09229006873194545,0.16971571817163578,0.2307649138559964
0628,8935,9e3,9321,9462,0.015127132281943956,0.05133333333333323,0.058981533296026845
0631,2523,2544,2657,2696,0.014678208505833679,0.05974842767295607,0.06856916369401511
0632,1402,1418,1355,1399,0.03247232472324724,-0.013399153737658653,-0.002139800285306692
0633,2526,2503,2531,2530,-3.951007506913795e-4,0.010787055533360013,0.0015835312747427555
0701,25011,25471,26595,27202,0.022823839067493967,0.06795964037532887,0.08760145535964181
0702,9726,9964,10350,10861,0.04937198067632842,0.09002408671216378,0.11669751182397703
0704,37493,38914,41239,44922,0.08930866412861604,0.15439173562214115,0.19814365348198337
0709,41364,42124,43132,44082,0.02202541036817207,0.04648181559206144,0.06570931244560496
0711,6466,6459,6570,6653,0.012633181126331827,0.030035609227434534,0.028920507268790585
0713,7827,8214,8835,9496,0.07481607243916244,0.15607499391283186,0.21323623355053023
0714,3099,3058,3060,3176,0.03790849673202623,0.038587311968606874,0.024846724749919336
0716,8321,8527,8994,9486,0.05470313542361582,0.1124662835698369,0.14000721067179422
0722,20305,20600,21100,21748,0.030710900473933656,0.05572815533980591,0.07106623984240334
0723,4493,4663,4865,4928,0.012949640287769792,0.05683036671670605,0.0968172713109281
0728,2420,2379,2435,2475,0.01642710472279263,0.04035308953341743,0.022727272727272707
0805,33977,34377,35392,36198,0.022773508137432286,0.05297146347848858,0.06536774877122764
0806,50696,51359,53015,54316,0.024540224464774107,0.05757510854962122,0.0714060280890012
0807,12221,12313,12497,12757,0.020804993198367594,0.036059449362462415,0.04385893134768026
0811,2362,2404,2426,2357,-0.028441879637262968,-0.01955074875207985,-0.0021168501270110163
0814,14061,14097,14129,14138,6.369877556797743e-4,0.0029084202312548157,0.005476139677121017
0815,10481,10620,10700,10586,-0.010654205607476652,-0.003201506591337111,0.010018128041217489
0817,4136,4138,4139,4148,0.0021744382701136544,0.0024166263895601947,0.0029013539651836506
0819,6576,6557,6625,6585,-0.006037735849056647,0.004270245539118589,0.0013686131386860811
0821,5333,5518,5791,6262,0.08133310309100339,0.1348314606741574,0.17419838739921234
0822,4277,4274,4369,4303,-0.015106431677729404,0.006785212915301875,0.006079027355623046
0826,6120,6010,5973,5894,-0.013226184496902715,-0.01930116472545762,-0.03692810457516338
0827,1619,1613,1609,1593,-0.009944064636420169,-0.012399256044637319,-0.016059295861643008
0828,2933,2925,2945,2979,0.011544991511035718,0.01846153846153853,0.01568360040913741
0829,2542,2546,2507,2442,-0.025927403270841642,-0.0408483896307934,-0.03933910306845001
0830,1375,1393,1430,1476,0.032167832167832255,0.05958363244795395,0.07345454545454544
0831,1363,1379,1350,1319,-0.022962962962962963,-0.043509789702683155,-0.03228173147468816
0833,2414,2363,2284,2228,-0.024518388791593737,-0.05713076597545497,-0.07705053852526922
0834,3684,3662,3721,3726,0.0013437248051599848,0.017476788640087282,0.01140065146579805
0901,6873,6889,6848,6936,0.012850467289719614,0.006822470605312825,0.009166302924487058
0904,19536,20111,21594,22692,0.05084745762711873,0.12833772562279355,0.16154791154791148
0906,40057,41241,43336,44576,0.028613623776998276,0.08086612836740148,0.11281423970841553
0911,2513,2496,2484,2511,0.010869565217391353,0.006009615384615419,-7.958615200954755e-4
0912,1864,1881,1986,2104,0.059415911379657516,0.11855396065922386,0.1287553648068669
0914,5822,5939,6064,6051,-0.0021437994722954823,0.01885839366896791,0.03933356234970797
0919,4759,4896,5425,5713,0.053087557603686664,0.1668709150326797,0.2004622819920152
0926,9109,9329,10032,10702,0.06678628389154695,0.14717547432736633,0.17488198485014816
0928,4411,4608,4936,5178,0.04902755267423009,0.12369791666666674,0.17388347313534336
0929,1815,1855,1815,1856,0.022589531680440755,5.390835579515141e-4,0.022589531680440755
0935,1191,1224,1283,1342,0.04598597038191743,0.09640522875817004,0.1267842149454239
0937,3315,3408,3556,3614,0.016310461192351022,0.06044600938967126,0.09019607843137245
0938,1272,1225,1207,1200,-0.0057995028997513964,-0.020408163265306145,-0.05660377358490565
0940,1320,1292,1277,1246,-0.024275646045418986,-0.035603715170278605,-0.05606060606060603
0941,902,965,929,952,0.02475780409041972,-0.013471502590673534,0.055432372505543226
1001,77840,80109,84476,89268,0.05672617074672104,0.11433172302737526,0.14681397738951696
1002,14200,14543,15237,15600,0.023823587320338735,0.072681014921268,0.09859154929577474
1003,9386,9427,9441,9769,0.034742082406524766,0.036278773735016534,0.04080545493287868
1004,8860,8975,9060,9090,0.0033112582781456013,0.012813370473537589,0.025959367945823875
1014,12555,12886,13756,14425,0.04863332364059314,0.11943194164209214,0.1489446435682995
1017,5664,5804,6285,6568,0.04502784407319016,0.13163335630599593,0.15960451977401124
1018,9743,10417,10960,11321,0.03293795620437967,0.086781223000864,0.1619624345684081
1021,2147,2223,2292,2309,0.0074171029668412825,0.03868645973909124,0.07545412203074053
1026,893,914,912,937,0.027412280701754277,0.02516411378555805,0.04927211646136609
1027,1595,1630,1728,1765,0.02141203703703698,0.08282208588957052,0.10658307210031337
1029,4520,4620,4796,4950,0.032110091743119185,0.0714285714285714,0.09513274336283195
1032,7368,7636,8011,8588,0.07202596429908881,0.12467260345730757,0.16558089033659074
1034,1599,1620,1669,1702,0.019772318753744855,0.050617283950617376,0.06441525953721072
1037,5595,5690,5899,5988,0.015087302932700553,0.052372583479789014,0.07024128686327069
1046,1737,1739,1831,1836,0.002730748225013624,0.055779183438757984,0.05699481865284972
1101,13594,13969,14636,14899,0.017969390543864483,0.06657598969145972,0.09599823451522727
1102,60507,63431,70046,75497,0.07782028952402698,0.19022244643786168,0.24773993091708402
1103,117315,121610,129191,132729,0.027385808608958895,0.09143162568867691,0.13138984784554397
1106,32303,33665,35753,37166,0.03952115906357512,0.10399524728946985,0.15054329319258275
1111,3266,3246,3286,3316,0.00912964090079127,0.02156500308071463,0.015309246785058184
1112,3120,3111,3173,3259,0.027103687362117768,0.047573127611700405,0.044551282051282115
1114,2507,2580,2779,2826,0.01691255847427131,0.09534883720930232,0.12724371759074593
1119,15072,15949,17635,18800,0.06606180890275026,0.1787572888582356,0.24734607218683657
1120,15271,16350,18227,19042,0.04471388599330672,0.16464831804281355,0.24693864187021153
1121,15048,15836,17437,18656,0.06990881458966558,0.17807527153321545,0.23976608187134496
1122,9621,9969,11039,11902,0.07817737113869017,0.19390109338950756,0.23708554204344656
1124,20666,22076,24579,26016,0.05846454290247771,0.17847436129733651,0.25887931868769964
1127,9501,9867,10397,10873,0.045782437241511875,0.10195601499949336,0.14440585201557732
1129,1103,1134,1227,1245,0.014669926650366705,0.0978835978835979,0.12873980054397105
1130,10654,11045,11882,12662,0.06564551422319465,0.1464010864644636,0.18847381265252494
1133,2707,2701,2799,2708,-0.032511611289746334,0.0025916327286190644,3.6941263391199186e-4
1134,3874,3833,3872,3853,-0.004907024793388448,0.005217845030002666,-0.0054207537429014074
1135,4732,4730,4745,4760,0.0031612223393044925,0.00634249471458781,0.00591715976331364
1141,2672,2790,3015,3235,0.07296849087893853,0.15949820788530467,0.21070359281437123
1142,3526,3888,4619,4892,0.05910370210002158,0.2582304526748971,0.3874078275666477
1144,527,542,528,534,0.011363636363636465,-0.014760147601476037,0.013282732447817747
1145,793,811,865,855,-0.011560693641618491,0.054254007398273796,0.0781841109709962
1146,9513,9712,10487,11041,0.05282731000286067,0.13684102141680388,0.1606223063176706
1149,38349,39354,41118,42229,0.027019796682717923,0.07305483559485704,0.10117604109624767
1151,214,214,209,201,-0.038277511961722466,-0.06074766355140182,-0.06074766355140182
1160,8111,8161,8615,8828,0.02472431804991304,0.08173018012498479,0.08839847121193434
1201,244620,252051,267950,278556,0.03958201156932262,0.10515728959615323,0.138729457934756
1211,3858,3854,4040,4135,0.023514851485148425,0.07291126102750378,0.07179885951270082
1216,4764,4906,5400,5656,0.04740740740740734,0.15287403179779857,0.18723761544920237
1219,10892,11085,11638,11806,0.014435470012029494,0.06504285069914295,0.08391479985310313
1221,16850,17289,18161,18821,0.036341611144760755,0.08861125571172423,0.11697329376854593
1222,2897,2908,2980,3189,0.07013422818791937,0.09662998624484187,0.10079392474974114
1223,2753,2792,2736,2847,0.040570175438596534,0.019699140401146176,0.0341445695604794
1224,13032,13112,13305,13241,-0.004810221721157415,0.009838316046369755,0.01603744628606507
1227,1056,1022,1046,1108,0.05927342256214141,0.08414872798434447,0.04924242424242431
1228,7154,7054,6988,7025,0.005294791070406424,-0.004111142614119601,-0.01803187028235953
1231,3416,3351,3403,3377,-0.007640317367029081,0.0077588779468815705,-0.011416861826697877
1232,915,945,952,921,-0.03256302521008403,-0.025396825396825418,0.006557377049180246
1233,1137,1095,1113,1131,0.016172506738544534,0.03287671232876721,-0.00527704485488123
1234,977,950,904,933,0.03207964601769908,-0.017894736842105297,-0.045035823950870024
1235,13786,13868,14061,14514,0.03221676978877741,0.04658205941736382,0.05280719570578851
1238,8230,8338,8584,8423,-0.018755824790307574,0.010194291196929717,0.02345078979343862
1241,3749,3791,3818,3895,0.020167627029858526,0.027433394882616646,0.038943718324886634
1242,2353,2379,2434,2488,0.022185702547247388,0.045817570407734376,0.057373565660858494
1243,15595,16437,18142,20152,0.11079263587256083,0.22601447952789444,0.29220904135941006
1244,4389,4417,4838,5156,0.06572964034725093,0.16730812768847625,0.17475506949191155
1245,5670,5899,6514,7058,0.08351243475591041,0.19647397864044747,0.24479717813051138
1246,20791,21507,23277,25204,0.08278558233449318,0.17189752173710882,0.21225530277523919
1247,23018,24432,26831,28821,0.0741679400693227,0.17964145383104135,0.2521070466591364
1251,4094,4110,4132,4123,-0.0021781219748305825,0.003163017031630133,0.007083536883243813
1252,356,351,383,383,0,0.09116809116809121,0.07584269662921339
1253,7186,7352,7674,8026,0.045869168621318845,0.09167573449401534,0.1168939604787087
1256,6016,6478,7347,8021,0.09173812440451878,0.2381907996295154,0.33327792553191493
1259,4134,4223,4563,4913,0.07670392285776906,0.1633909542978924,0.1884373488147073
1260,4658,4825,5003,5128,0.02498500899460332,0.06279792746113988,0.10090167453842858
1263,13594,14036,14820,15731,0.06147098515519578,0.12076090054146471,0.15720170663528021
1264,2520,2576,2833,2884,0.01800211789622308,0.11956521739130443,0.14444444444444438
1265,620,596,569,587,0.03163444639718804,-0.015100671140939603,-0.0532258064516129
1266,1631,1652,1696,1710,0.008254716981132004,0.03510895883777243,0.048436541998773786
1401,11341,11448,11697,11999,0.025818585962212426,0.0481306778476589,0.058019574993386724
1411,2406,2283,2305,2371,0.028633405639913123,0.03854577310556295,-0.014546965918536992
1412,871,876,842,794,-0.05700712589073631,-0.09360730593607303,-0.08840413318025253
1413,1492,1474,1428,1438,0.007002801120448154,-0.024423337856173677,-0.036193029490616646
1416,4420,4327,4222,4190,-0.007579346281383237,-0.03166165934827825,-0.05203619909502266
1417,2835,2780,2731,2722,-0.003295496155254485,-0.02086330935251801,-0.03985890652557322
1418,1399,1348,1337,1288,-0.03664921465968585,-0.04451038575667654,-0.07934238741958544
1419,2199,2156,2255,2332,0.034146341463414664,0.08163265306122458,0.06048203728967705
1420,6822,6968,7477,7941,0.06205697472248217,0.139638346727899,0.16402814423922596
1421,1715,1687,1714,1787,0.0425904317386232,0.05927682276229995,0.041982507288629733
1422,2153,2199,2176,2159,-0.0078125,-0.01819008640291042,0.0027868091035763154
1424,5491,5600,5521,5363,-0.028618003984785312,-0.04232142857142862,-0.023310872336550714
1426,4884,4879,5041,5151,0.0218210672485617,0.05574912891986061,0.054668304668304746
1428,3143,3031,3018,3065,0.01557322730284949,0.011217419993401423,-0.024817053770283204
1429,2870,2838,2871,2862,-0.0031347962382445305,0.008456659619450413,-0.0027874564459929863
1430,2719,2757,2923,2966,0.014710913445090679,0.07580703663402244,0.09084222140492826
1431,2928,2950,3078,3049,-0.009421702404158516,0.03355932203389833,0.04132513661202175
1432,11465,11838,12559,13009,0.035830878254638154,0.09891873627301906,0.1346707370257305
1433,2658,2655,2713,2848,0.04976041282712873,0.07269303201506583,0.07148231753197898
1438,3930,3899,3945,3847,-0.024841571609632407,-0.013336753013593272,-0.02111959287531806
1439,6064,5989,6119,6031,-0.01438143487497956,0.007012856904324627,-0.005441952506596293
1441,2911,2874,2789,2791,7.171029042667421e-4,-0.02887961029923447,-0.041222947440742064
1443,5848,5861,5920,6064,0.024324324324324298,0.034635727691520124,0.0369357045143639
1444,1201,1223,1238,1198,-0.03231017770597733,-0.02044153720359776,-0.0024979184013321776
1445,5723,5673,5676,5783,0.018851303735024638,0.019390093424995536,0.010484011881880084
1449,6706,6844,7105,7218,0.015904292751583338,0.054646405610753845,0.07634953772740838
1502,24254,24554,25936,26822,0.034161011721159706,0.09236784230675243,0.10587944256617465
1504,41385,42317,45033,47199,0.048098061421624205,0.11536734645650681,0.14048568321855748
1511,3536,3494,3336,3203,-0.039868105515587504,-0.08328563251287924,-0.09417420814479638
